Skill,Frequency,Category,Percentage
java,661,ESCO,3.860079420696099
python (computer programming),608,ESCO,3.550572296192479
javascript,529,ESCO,3.0892314879701
c#,509,ESCO,2.9724363466479797
android (mobile operating systems),470,ESCO,2.7446858210698437
php,364,ESCO,2.1256715720626023
microsoft visual c++,292,ESCO,1.7052090633029666
mysql,242,ESCO,1.4132212099976642
asp.net,235,ESCO,1.3723429105349219
biosecurity,185,ESCO,1.0803550572296192
css,158,ESCO,0.9226816164447559
keep up with digital transformation of industrial processes,141,ESCO,0.8234057463209531
kali linux,137,ESCO,0.8000467180565289
angular,136,ESCO,0.7942069609904228
manage musical staff,135,ESCO,0.7883672039243167
assemble windows,110,ESCO,0.6423732772716655
supervise correctional procedures,107,ESCO,0.6248540060733473
swift (computer programming),107,ESCO,0.6248540060733473
field-programmable gate arrays,104,ESCO,0.6073347348750292
tune stringed musical instruments,93,ESCO,0.5430974071478627
typescript,93,ESCO,0.5430974071478627
postgresql,83,ESCO,0.4846998364868021
html,83,non-ESCO,0.4846998364868021
ruby (computer programming),79,ESCO,0.46134080822237794
handle customer requests related to cargo,78,ESCO,0.45550105115627193
eclipse (integrated development environment software),76,ESCO,0.44382153702405985
bash,61,non-ESCO,0.35622518103246903
objective-c,60,ESCO,0.35038542396636296
node.js,60,non-ESCO,0.35038542396636296
apache maven,58,ESCO,0.3387059098341509
develop terminology databases,58,ESCO,0.3387059098341509
tend spring making machine,57,ESCO,0.3328661527680449
jquery,55,non-ESCO,0.32118663863583274
algorithms,54,ESCO,0.31534688156972673
perform escalation procedure,53,ESCO,0.30950712450362067
xcode,53,ESCO,0.30950712450362067
regex,51,non-ESCO,0.2978276103714086
json,50,non-ESCO,0.29198785330530247
haskell,47,ESCO,0.2744685821069843
reactjs,47,non-ESCO,0.2744685821069843
ruby-on-rails,47,non-ESCO,0.2744685821069843
manage claim files,47,ESCO,0.2744685821069843
keep up to date on product knowledge,45,ESCO,0.26278906797477225
jenkins (tools for software configuration management),44,ESCO,0.2569493109086662
python-3.x,43,non-ESCO,0.2511095538425602
detect malfunctions in train control systems,42,ESCO,0.2452697967764541
liaise with specialist contractors for well operations,41,ESCO,0.23943003971034804
docker,40,non-ESCO,0.233590282644242
curl hair,40,ESCO,0.233590282644242
edit dictionary entries,38,ESCO,0.22191076851202993
install electricity sockets,37,ESCO,0.21607101144592386
oracle warehouse builder,37,ESCO,0.21607101144592386
select music for performance,36,ESCO,0.21023125437981782
human dynamics as part of hospitality security,35,ESCO,0.20439149731371173
manage ict data classification,35,ESCO,0.20439149731371173
sql-server,35,non-ESCO,0.20439149731371173
depurate shellfish,34,ESCO,0.1985517402476057
qt,34,non-ESCO,0.1985517402476057
django,34,non-ESCO,0.1985517402476057
visual-studio-code,32,non-ESCO,0.18687222611539359
perl,32,ESCO,0.18687222611539359
manage frustration,31,ESCO,0.18103246904928755
pandas,31,non-ESCO,0.18103246904928755
github,31,non-ESCO,0.18103246904928755
mongodb,30,non-ESCO,0.17519271198318148
iphone,30,non-ESCO,0.17519271198318148
multithreading,30,non-ESCO,0.17519271198318148
macos,30,non-ESCO,0.17519271198318148
vim,29,non-ESCO,0.16935295491707544
laravel,29,non-ESCO,0.16935295491707544
cooperate with education professionals,29,ESCO,0.16935295491707544
unix,29,non-ESCO,0.16935295491707544
http,28,non-ESCO,0.1635131978509694
xml,28,non-ESCO,0.1635131978509694
gcc,28,non-ESCO,0.1635131978509694
perform toxicological studies,26,ESCO,0.1518336837187573
manage time in landscaping,26,ESCO,0.1518336837187573
multidimensional-array,26,non-ESCO,0.1518336837187573
position outriggers,25,ESCO,0.14599392665265123
pursue excellence in the creation of food products,25,ESCO,0.14599392665265123
